symbol,side,entry_bar,entry_price,exit_bar,exit_price,quantity,stop_loss,atr,rs_slope,volatility_rank,pnl_pct,pnl_usd,exit_reason,pyramid_added,candles_held,entry_balance,exit_balance
IP/USDT:USDT,long,56,5.525468999999999,67,5.5262355,90.49005613822104,5.454477425324097,0.03549578733795118,0.00048622665927156684,0.0,0.00046761523773367677,0.046761523773367675,time_stop,False,12,100.0,100.04676152377337
ICP/USDT:USDT,short,97,5.678673,108,5.6758308241635,132.13486873223732,5.672994327,0.02295320170279515,0.0003044461076712812,0.0,0.01427100225000172,1.4277675588111554,stop_loss,True,12,100.04676152377337,101.47452908258452
CHZ/USDT:USDT,long,137,0.04497498,149,0.04503747,11281.22003418173,0.044531359211290825,0.00022181039435458706,3.306962179668684e-05,0.0,0.03173181155389358,3.219970634368666,time_stop,False,13,101.47452908258452,104.69449971695319
RED/USDT:USDT,short,156,0.6077071,162,0.6074029425964499,1292.0842094442355,0.6070993928999999,0.0060751180502034985,-6.044094576419779e-05,0.0,0.014271002250003325,1.4940954410236114,stop_loss,True,7,104.69449971695319,106.1885951579768
ICP/USDT:USDT,short,153,5.667661999999999,174,5.6618295,138.54191514546017,5.6619943379999995,0.023982734796834743,-4.660845074732551e-05,0.0,0.03409527901451778,3.5695881791348723,time_stop,True,22,104.69449971695319,109.75818333711167
RED/USDT:USDT,short,202,0.5979974,213,0.60080025,917.7145530826026,0.607953263059889,0.0049779315299444725,0.000448229493500705,0.0,-0.12019057398911867,-13.191899055290373,time_stop,False,12,109.75818333711167,96.5662842818213
DOT/USDT:USDT,short,216,4.430426,223,4.469588773626237,108.98081164409619,4.467355096078198,0.018464548039099454,0.00019412550848204576,0.0,-0.2240141482956275,-21.63221392746564,stop_loss,False,8,96.5662842818213,74.93407035435565
CHZ/USDT:USDT,long,223,0.046403549999999995,239,0.046426728573224996,15607.580284561413,0.04644995354999999,0.00015384908782058805,-0.000403078735960055,0.0,0.014229002250000719,1.3740418763202442,stop_loss,True,17,96.5662842818213,76.3081122306759
RED/USDT:USDT,long,241,0.6077916000000001,252,0.6063966500000001,627.7489869115983,0.5980733690435908,0.0048591154782046606,-9.938932972538674e-05,0.0,-0.060370923109171186,-4.6067911760841405,time_stop,False,12,76.3081122306759,71.70132105459176
FLOW/USDT:USDT,long,274,0.4222773,274,0.4195653587358672,848.9838437277087,0.4197752463590467,0.0012510268204766557,0.00014985326867442177,0.0,-0.16353525912836936,-11.725694118509068,stop_loss,False,1,71.70132105459176,59.97562693608269
ARCSOL/USDT:USDT,long,301,0.0548451,304,0.054872495127449995,8201.59325118598,0.05489994509999999,0.0010264614175359967,0.0006245359293787747,0.0,0.014229002249996243,0.8533933306184559,stop_loss,True,4,59.97562693608269,60.82902026670115
PIPPIN/USDT:USDT,long,288,0.01737261,306,0.017381287618694997,25892.321419787826,0.017389982609999997,0.0001522427917431704,-6.767842493848852e-05,0.0,0.014229002249992692,0.853393330618243,stop_loss,True,19,59.97562693608269,61.682413597319396
AERO/USDT:USDT,long,265,0.512487,326,0.5127429872565,1049.3142419406504,0.512999487,0.002333235576215865,0.00014719646047813557,0.0,0.01422900225000007,1.0202382586137635,stop_loss,True,62,71.70132105459176,62.70265185593316
ARCSOL/USDT:USDT,long,344,0.0524475,349,0.05247369752625,8966.488181886623,0.0524999475,0.0008674187972410703,0.0009380349195480781,0.0,0.01422900225000039,0.8921961743390641,stop_loss,True,6,62.70265185593316,63.594848030272225
ENA/USDT:USDT,long,352,0.37672289999999997,354,0.37138443545056843,844.0533881836255,0.3715702205608488,0.0025763397195755836,0.00034847162616104694,0.0,-0.3572274662414743,-22.71782642786576,stop_loss,False,3,63.594848030272225,40.877021602406465
GRASS/USDT:USDT,long,363,1.4129856,364,1.4136913863072,216.97154027475472,1.4143985855999999,0.010824562357572166,0.0003795993966125922,0.0,0.014229002249999302,0.5816392323539117,stop_loss,True,2,40.877021602406465,41.45866083476038
STEEM/USDT:USDT,short,352,0.13353339999999997,368,0.13346656653329997,3571.850639817767,0.13339986659999997,0.0004713792887695164,0.00023061540446397212,0.0,0.0142710022500001,0.9075622193284294,stop_loss,True,17,63.594848030272225,42.366223054088806
VVV/USDT:USDT,short,274,3.1531499999999997,369,3.1515718484249993,170.54688419816318,3.1499968499999995,0.020394191816501258,0.0008692977411632727,0.0,0.014271002250004853,1.0232497140983994,stop_loss,True,96,71.70132105459176,43.389472768187204
ZRO/USDT:USDT,long,389,2.922075,398,2.9235345764625,111.36642480477197,2.924997075,0.025999413641372673,0.00032748049052394606,0.0,0.014229002250000723,0.6173889056448808,stop_loss,True,10,43.389472768187204,44.006861673832084
IP/USDT:USDT,long,392,5.7372570000000005,400,5.651344264410514,37.81377822902756,5.654171350085556,0.04154282495722225,0.000371393015477931,0.0,-0.3773183635542904,-16.37164486037584,stop_loss,False,9,43.389472768187204,27.635216813456243
CHZ/USDT:USDT,long,433,0.04787208,436,0.04789599210396,4329.540853477054,0.047919952079999995,0.00020442546535193396,0.0002759884546662195,0.0,0.014229002250000988,0.39322156221793403,stop_loss,True,4,27.635216813456243,28.028438375674178
DOT/USDT:USDT,short,443,4.597593,447,4.6528240099379845,30.481643738010494,4.6504987605577055,0.026452880278852633,0.00017727826272883834,0.0,-0.3033617200303357,-8.502755275408786,stop_loss,False,5,28.028438375674178,19.52568310026539
FLOW/USDT:USDT,long,448,0.42957,451,0.4258278186389646,227.27009684411607,0.42604083905849377,0.0017645804707531279,5.0458527798222876e-05,0.0,-0.22076033587495109,-4.3104963594024435,stop_loss,False,4,19.52568310026539,15.215186740862947
PIPPIN/USDT:USDT,short,447,0.019379359999999998,454,0.019369660630319998,10847.2770936479,0.01935998064,0.00019029388905567304,0.00011282751933716048,0.0,0.014271002250000619,0.3999939071232499,stop_loss,True,8,28.028438375674178,15.615180647986197
ZRO/USDT:USDT,short,440,2.8378349999999997,455,2.8364146635824996,74.07523263951441,2.834997165,0.01914403742324817,-6.024736322937185e-05,0.0,0.014271002250000754,0.39999390712325367,stop_loss,True,16,28.028438375674178,16.01517455510945
ARCSOL/USDT:USDT,short,447,0.07357349999999999,465,0.07353667646324999,2295.6650766958023,0.07349992649999999,0.001831393350463133,0.0007187671986791257,0.0,0.01146632517558,0.3213831885791854,stop_loss,True,19,28.028438375674178,16.336557743688637
ENA/USDT:USDT,short,452,0.39869829999999995,465,0.3977988,190.81078024239065,0.40561527714494133,0.003458488572470696,-0.0005261562445868586,0.0,0.05340906545124108,0.8126289044956045,time_stop,False,14,15.215186740862947,17.14918664818424
