bar,equity_usd
0,100.0
1,100.0
2,100.0
3,100.0
4,100.0
5,100.0
6,100.0
7,100.0
8,100.0
9,100.0
10,100.0
11,100.0
12,100.0
13,100.0
14,100.0
15,100.0
16,100.0
17,100.0
18,100.0
19,100.0
20,100.0
21,100.0
22,100.0
23,100.0
24,100.0
25,100.0
26,100.0
27,100.0
28,100.0
29,100.0
30,100.0
31,100.0
32,100.0
33,100.0
34,100.0
35,100.0
36,100.0
37,100.0
38,100.0
39,100.0
40,100.0
41,100.0
42,100.0
43,100.0
44,100.0
45,100.0
46,100.0
47,100.0
48,100.0
49,100.0
50,100.0
51,100.0
52,100.0
53,100.0
54,100.0
55,100.0
56,100.0
57,100.0
58,100.0
59,100.0
60,100.0
61,100.0
62,100.0
63,100.0
64,100.0
65,100.0
66,100.0
67,100.0
68,100.046762
69,100.046762
70,100.046762
71,100.046762
72,100.046762
73,100.046762
74,100.046762
75,100.046762
76,100.046762
77,100.046762
78,100.046762
79,100.046762
80,100.046762
81,100.046762
82,100.046762
83,100.046762
84,100.046762
85,100.046762
86,100.046762
87,100.046762
88,100.046762
89,100.046762
90,100.046762
91,100.046762
92,100.046762
93,100.046762
94,100.046762
95,100.046762
96,100.046762
97,100.046762
98,100.046762
99,100.046762
100,100.046762
101,100.046762
102,100.046762
103,100.046762
104,100.046762
105,100.046762
106,100.046762
107,100.046762
108,100.046762
109,101.474529
110,101.474529
111,101.474529
112,101.474529
113,101.474529
114,101.474529
115,101.474529
116,101.474529
117,101.474529
118,101.474529
119,101.474529
120,101.474529
121,101.474529
122,101.474529
123,101.474529
124,101.474529
125,101.474529
126,101.474529
127,101.474529
128,101.474529
129,101.474529
130,101.474529
131,101.474529
132,101.474529
133,101.474529
134,101.474529
135,101.474529
136,101.474529
137,101.474529
138,101.474529
139,101.474529
140,101.474529
141,101.474529
142,101.474529
143,101.474529
144,101.474529
145,101.474529
146,101.474529
147,101.474529
148,101.474529
149,101.474529
150,104.6945
151,104.6945
152,104.6945
153,104.6945
154,104.6945
155,104.6945
156,104.6945
157,104.6945
158,104.6945
159,104.6945
160,104.6945
161,104.6945
162,104.6945
163,106.188595
164,106.188595
165,106.188595
166,106.188595
167,106.188595
168,106.188595
169,106.188595
170,106.188595
171,106.188595
172,106.188595
173,106.188595
174,106.188595
175,109.758183
176,109.758183
177,109.758183
178,109.758183
179,109.758183
180,109.758183
181,109.758183
182,109.758183
183,109.758183
184,109.758183
185,109.758183
186,109.758183
187,109.758183
188,109.758183
189,109.758183
190,109.758183
191,109.758183
192,109.758183
193,109.758183
194,109.758183
195,109.758183
196,109.758183
197,109.758183
198,109.758183
199,109.758183
200,109.758183
201,109.758183
202,109.758183
203,109.758183
204,109.758183
205,109.758183
206,109.758183
207,109.758183
208,109.758183
209,109.758183
210,109.758183
211,109.758183
212,109.758183
213,109.758183
214,96.566284
215,96.566284
216,96.566284
217,96.566284
218,96.566284
219,96.566284
220,96.566284
221,96.566284
222,96.566284
223,96.566284
224,74.93407
225,74.93407
226,74.93407
227,74.93407
228,74.93407
229,74.93407
230,74.93407
231,74.93407
232,74.93407
233,74.93407
234,74.93407
235,74.93407
236,74.93407
237,74.93407
238,74.93407
239,74.93407
240,76.308112
241,76.308112
242,76.308112
243,76.308112
244,76.308112
245,76.308112
246,76.308112
247,76.308112
248,76.308112
249,76.308112
250,76.308112
251,76.308112
252,76.308112
253,71.701321
254,71.701321
255,71.701321
256,71.701321
257,71.701321
258,71.701321
259,71.701321
260,71.701321
261,71.701321
262,71.701321
263,71.701321
264,71.701321
265,71.701321
266,71.701321
267,71.701321
268,71.701321
269,71.701321
270,71.701321
271,71.701321
272,71.701321
273,71.701321
274,71.701321
275,59.975627
276,59.975627
277,59.975627
278,59.975627
279,59.975627
280,59.975627
281,59.975627
282,59.975627
283,59.975627
284,59.975627
285,59.975627
286,59.975627
287,59.975627
288,59.975627
289,59.975627
290,59.975627
291,59.975627
292,59.975627
293,59.975627
294,59.975627
295,59.975627
296,59.975627
297,59.975627
298,59.975627
299,59.975627
300,59.975627
301,59.975627
302,59.975627
303,59.975627
304,59.975627
305,60.82902
306,60.82902
307,61.682414
308,61.682414
309,61.682414
310,61.682414
311,61.682414
312,61.682414
313,61.682414
314,61.682414
315,61.682414
316,61.682414
317,61.682414
318,61.682414
319,61.682414
320,61.682414
321,61.682414
322,61.682414
323,61.682414
324,61.682414
325,61.682414
326,61.682414
327,62.702652
328,62.702652
329,62.702652
330,62.702652
331,62.702652
332,62.702652
333,62.702652
334,62.702652
335,62.702652
336,62.702652
337,62.702652
338,62.702652
339,62.702652
340,62.702652
341,62.702652
342,62.702652
343,62.702652
344,62.702652
345,62.702652
346,62.702652
347,62.702652
348,62.702652
349,62.702652
350,63.594848
351,63.594848
352,63.594848
353,63.594848
354,63.594848
355,40.877022
356,40.877022
357,40.877022
358,40.877022
359,40.877022
360,40.877022
361,40.877022
362,40.877022
363,40.877022
364,40.877022
365,41.458661
366,41.458661
367,41.458661
368,41.458661
369,42.366223
370,43.389473
371,43.389473
372,43.389473
373,43.389473
374,43.389473
375,43.389473
376,43.389473
377,43.389473
378,43.389473
379,43.389473
380,43.389473
381,43.389473
382,43.389473
383,43.389473
384,43.389473
385,43.389473
386,43.389473
387,43.389473
388,43.389473
389,43.389473
390,43.389473
391,43.389473
392,43.389473
393,43.389473
394,43.389473
395,43.389473
396,43.389473
397,43.389473
398,43.389473
399,44.006862
400,44.006862
401,27.635217
402,27.635217
403,27.635217
404,27.635217
405,27.635217
406,27.635217
407,27.635217
408,27.635217
409,27.635217
410,27.635217
411,27.635217
412,27.635217
413,27.635217
414,27.635217
415,27.635217
416,27.635217
417,27.635217
418,27.635217
419,27.635217
420,27.635217
421,27.635217
422,27.635217
423,27.635217
424,27.635217
425,27.635217
426,27.635217
427,27.635217
428,27.635217
429,27.635217
430,27.635217
431,27.635217
432,27.635217
433,27.635217
434,27.635217
435,27.635217
436,27.635217
437,28.028438
438,28.028438
439,28.028438
440,28.028438
441,28.028438
442,28.028438
443,28.028438
444,28.028438
445,28.028438
446,28.028438
447,28.028438
448,19.525683
449,19.525683
450,19.525683
451,19.525683
452,15.215187
453,15.215187
454,15.215187
455,15.615181
456,16.015175
457,16.015175
458,16.015175
459,16.015175
460,16.015175
461,16.015175
462,16.015175
463,16.015175
464,16.015175
465,16.015175
466,17.149187
467,17.149187
468,17.149187
469,17.149187
470,17.149187
471,17.149187
472,17.149187
473,17.149187
474,17.149187
475,17.149187
476,17.149187
477,17.149187
478,17.149187
479,17.149187
480,17.149187
481,17.149187
482,17.149187
483,17.149187
484,17.149187
485,17.149187
486,17.149187
487,13.474334
488,13.71835
489,13.71835
490,13.71835
491,13.71835
492,13.71835
493,14.526342
494,14.526342
495,14.526342
496,14.526342
497,14.526342
498,14.526342
499,14.526342
500,14.526342
501,14.526342
502,14.526342
503,14.526342
504,14.526342
505,14.526342
506,14.526342
507,14.526342
508,14.526342
509,14.526342
510,14.526342
511,14.526342
512,14.526342
513,14.526342
514,14.526342
515,14.526342
516,14.526342
517,14.526342
518,14.526342
519,14.526342
520,14.526342
521,14.526342
522,14.526342
523,14.526342
524,14.526342
525,14.526342
526,14.526342
527,14.526342
528,14.526342
529,14.526342
530,14.526342
531,14.526342
532,14.526342
533,14.526342
534,14.526342
535,14.526342
536,14.526342
537,14.526342
538,14.526342
539,14.526342
540,14.526342
541,14.526342
542,14.526342
543,14.526342
544,14.526342
545,14.526342
546,14.526342
547,14.526342
548,14.733647
549,14.733647
550,14.733647
551,14.733647
552,14.733647
553,14.733647
554,14.733647
555,14.733647
556,14.733647
557,14.733647
558,14.733647
559,14.733647
560,14.733647
561,14.733647
562,14.733647
563,14.733647
564,14.733647
565,14.733647
566,14.733647
567,14.733647
568,8.038701
569,8.038701
570,8.038701
571,8.038701
572,8.038701
573,8.038701
574,8.038701
575,8.038701
576,8.038701
577,8.038701
578,8.038701
579,8.038701
580,8.038701
581,8.038701
582,8.038701
583,8.038701
584,8.038701
585,8.038701
586,8.038701
587,8.038701
588,8.038701
589,8.038701
590,8.038701
591,8.038701
592,8.038701
593,8.153421
594,8.153421
595,8.153421
596,8.153421
597,6.21113
598,6.21113
599,6.21113
600,6.21113
601,6.21113
602,6.299769
603,6.299769
604,6.299769
605,6.299769
606,6.388408
607,6.388408
608,6.388408
609,6.388408
610,6.388408
611,6.388408
612,6.388408
613,6.388408
614,6.388408
615,6.388408
616,6.388408
617,6.388408
618,6.388408
619,6.388408
620,6.388408
621,6.388408
622,6.388408
623,6.388408
624,6.388408
625,6.388408
626,6.388408
627,6.388408
628,6.388408
629,6.388408
630,6.388408
631,6.388408
632,6.388408
633,6.388408
634,6.388408
635,6.388408
636,6.388408
637,6.388408
638,6.388408
639,6.388408
640,6.388408
641,6.388408
642,6.388408
643,6.388408
644,6.388408
645,6.388408
646,6.388408
647,6.388408
648,6.388408
649,6.388408
650,6.388408
651,6.388408
652,3.758734
653,3.758734
654,3.758734
655,3.758734
656,3.758734
657,3.758734
658,3.758734
659,3.758734
660,3.758734
661,3.758734
662,3.758734
663,3.758734
664,3.758734
665,3.758734
666,3.758734
667,3.758734
668,3.758734
669,3.758734
670,3.758734
671,3.758734
672,3.758734
673,3.758734
674,3.758734
675,3.758734
676,3.758734
677,3.758734
678,3.758734
679,3.758734
680,3.758734
681,3.758734
682,3.758734
683,3.758734
684,3.758734
685,3.758734
686,3.758734
687,3.758734
688,3.812375
689,3.812375
690,3.812375
691,3.812375
692,3.812375
693,1.814593
694,1.814593
695,1.814593
696,1.814593
697,0.490435
698,0.490435
699,0.490435
700,0.490435
701,0.490435
702,0.490435
703,0.490435
704,0.490435
705,0.490435
706,0.490435
707,0.490435
708,0.490435
709,0.490435
710,0.490435
711,0.490435
712,0.490435
713,0.490435
714,0.490435
715,0.490435
716,0.490435
717,0.490435
718,0.490435
719,0.490435
720,0.490435
721,0.490435
722,0.490435
723,0.490435
724,0.490435
725,0.490435
726,0.490435
727,0.490435
728,0.490435
729,0.490435
730,0.490435
731,0.369892
732,0.369892
733,0.369892
734,0.369892
735,0.369892
736,0.369892
737,0.369892
738,0.369892
739,0.369892
740,0.369892
741,0.28897
742,0.28897
743,0.28897
744,0.28897
745,0.28897
746,0.28897
747,0.28897
748,0.28897
749,0.28897
750,0.28897
751,0.28897
752,0.28897
753,0.28897
754,0.28897
755,0.28897
756,0.28897
757,0.28897
758,0.28897
759,0.28897
760,0.28897
761,0.28897
762,0.28897
763,0.28897
764,0.28897
765,0.28897
766,0.28897
767,0.28897
768,0.28897
769,0.28897
770,0.28897
771,0.28897
772,0.28897
773,0.28897
774,0.28897
775,0.28897
776,0.28897
777,0.28897
778,0.28897
779,0.28897
780,0.28897
781,0.28897
782,0.28897
783,0.28897
784,0.28897
785,0.28897
786,0.28897
787,0.28897
788,0.28897
789,0.28897
790,0.28897
791,0.28897
792,0.28897
793,0.28897
794,0.28897
795,0.28897
796,0.28897
797,0.28897
798,0.28897
799,0.28897
800,0.28897
801,0.28897
802,0.28897
803,0.28897
804,0.28897
805,0.28897
806,0.28897
807,0.28897
808,0.28897
809,0.28897
810,0.28897
811,0.28897
812,0.28897
813,0.28897
814,0.28897
815,0.28897
816,0.28897
817,0.28897
818,0.28897
819,0.28897
820,0.28897
821,0.28897
822,0.28897
823,0.28897
824,0.28897
825,0.28897
826,0.28897
827,0.28897
828,0.28897
829,0.28897
830,0.28897
831,0.28897
832,0.28897
833,0.28897
834,0.28897
835,0.28897
836,0.28897
837,0.28897
838,0.28897
839,0.28897
840,0.28897
841,0.28897
842,0.28897
843,0.28897
844,0.28897
845,0.28897
846,0.28897
847,0.28897
848,0.28897
849,0.28897
850,0.28897
851,0.28897
852,0.28897
853,0.28897
854,0.28897
855,0.28897
856,0.28897
857,0.28897
858,0.28897
859,0.28897
860,0.28897
861,0.28897
862,0.28897
863,0.28897
864,0.28897
865,0.28897
866,0.28897
867,0.28897
868,0.28897
869,0.28897
870,0.28897
871,0.28897
872,0.28897
873,0.28897
874,0.28897
875,0.28897
876,0.28897
877,0.28897
878,0.28897
879,0.28897
880,0.28897
881,0.28897
882,0.28897
883,0.28897
884,0.28897
885,0.28897
886,0.28897
