2026-02-24 11:54:25 | INFO     | v10k | [strategy] ETH/USDT:USDT | DC:✗ BBW:✗ GRV:✓ VOL:✗ AVWAP:✓ → skip
2026-02-24 11:54:25 | INFO     | v10k | [main] No signal on ETH/USDT:USDT: conditions failed: ['donchian_breakout', 'bbw_expansion', 'volume_spike']
2026-02-24 11:54:25 | INFO     | v10k | [strategy] XAUT/USDT:USDT | DC:✗ BBW:✗ GRV:✓ VOL:✗ AVWAP:✗ → skip
2026-02-24 11:54:25 | INFO     | v10k | [main] No signal on XAUT/USDT:USDT: conditions failed: ['donchian_breakout', 'bbw_expansion', 'volume_spike', 'avwap']
2026-02-24 11:54:25 | INFO     | v10k | [strategy] PAXG/USDT:USDT | DC:✗ BBW:✗ GRV:✓ VOL:✗ AVWAP:✓ → skip
2026-02-24 11:54:25 | INFO     | v10k | [main] No signal on PAXG/USDT:USDT: conditions failed: ['donchian_breakout', 'bbw_expansion', 'volume_spike']
2026-02-24 11:55:12 | INFO     | v10k | [scanner] Starting asset scan …
2026-02-24 11:55:12 | INFO     | v10k | [scanner] Universe: 30 symbols
2026-02-24 11:55:16 | INFO     | v10k | [scanner] POWER/USDT:USDT rejected — funding rate 0.00083 > cap 0.00050
2026-02-24 11:55:17 | INFO     | v10k | [scanner] After funding filter: 29 symbols
2026-02-24 11:55:23 | INFO     | v10k | [scanner] Top RS slopes: [('XAUT/USDT:USDT', 6.510949240307085e-06), ('ETH/USDT:USDT', 6.2244416876753624e-06), ('PAXG/USDT:USDT', 5.068580763804217e-06), ('ZEC/USDT:USDT', 2.331725758338626e-06), ('AAVE/USDT:USDT', 1.170820009854545e-06)]
2026-02-24 11:55:23 | INFO     | v10k | [scanner] Candidate accepted: XAUT/USDT:USDT (RS slope=0.000007)
2026-02-24 11:55:23 | INFO     | v10k | [scanner] Candidate accepted: ETH/USDT:USDT (RS slope=0.000006)
2026-02-24 11:55:23 | INFO     | v10k | [scanner] Candidate accepted: PAXG/USDT:USDT (RS slope=0.000005)
2026-02-24 11:55:23 | INFO     | v10k | [scanner] Final candidates: ['XAUT/USDT:USDT', 'ETH/USDT:USDT', 'PAXG/USDT:USDT']
2026-02-24 11:55:23 | INFO     | v10k | [main] Balance: $100.00 USDT
2026-02-24 11:55:23 | INFO     | v10k | [strategy] XAUT/USDT:USDT | DC:✗ BBW:✗ GRV:✓ VOL:✗ AVWAP:✗ → skip
2026-02-24 11:55:23 | INFO     | v10k | [main] No signal on XAUT/USDT:USDT: conditions failed: ['donchian_breakout', 'bbw_expansion', 'volume_spike', 'avwap']
2026-02-24 11:55:23 | INFO     | v10k | [strategy] ETH/USDT:USDT | DC:✗ BBW:✗ GRV:✓ VOL:✗ AVWAP:✓ → skip
2026-02-24 11:55:23 | INFO     | v10k | [main] No signal on ETH/USDT:USDT: conditions failed: ['donchian_breakout', 'bbw_expansion', 'volume_spike']
2026-02-24 11:55:23 | INFO     | v10k | [strategy] PAXG/USDT:USDT | DC:✗ BBW:✗ GRV:✓ VOL:✗ AVWAP:✓ → skip
